entry_time,exit_time,side,entry_price,exit_price,exit_reason,pnl_pct
2025-07-01 02:00:00,2025-07-02 02:00:00,LONG,107220.0,105908.7,TL,-0.012829994404029125
2025-07-02 09:00:00,2025-07-03 09:00:00,SHORT,107729.0,109883.58,SL,-0.020600000000000018
2025-07-04 08:00:00,2025-07-05 08:00:00,LONG,108700.0,108029.97,TL,-0.006764029438822436
2025-07-06 10:00:00,2025-07-07 10:00:00,LONG,107850.0,108664.14,TL,0.006948817802503472
2025-07-07 13:00:00,2025-07-08 13:00:00,LONG,108346.86,109034.61,TL,0.005747668958749705
2025-07-09 20:00:00,2025-07-10 20:00:00,SHORT,111749.99,113493.16,TL,-0.016198838084907196
2025-07-10 22:00:00,2025-07-11 09:00:00,SHORT,116490.52,118820.3304,SL,-0.020600000000000018
2025-07-12 16:00:00,2025-07-13 16:00:00,LONG,117100.0,118528.01,TL,0.011594790777113534
2025-07-14 04:00:00,2025-07-14 07:00:00,SHORT,120750.25,123165.255,SL,-0.02060000000000004
2025-07-14 09:00:00,2025-07-15 09:00:00,SHORT,122578.01,116779.99,TL,0.046700653681683926
2025-07-15 11:00:00,2025-07-16 11:00:00,LONG,117016.49,118769.06,TL,0.014377119891393019
2025-07-18 16:00:00,2025-07-19 16:00:00,LONG,117860.24,117973.99,TL,0.00036512615280606935
2025-07-20 16:00:00,2025-07-21 16:00:00,SHORT,118671.12,117738.44,TL,0.007259367974280458
2025-07-21 19:00:00,2025-07-22 19:00:00,LONG,117162.28,119282.1,TL,0.017493024478526766
2025-07-23 14:00:00,2025-07-24 14:00:00,LONG,117381.44,119057.11,TL,0.01367542548464219
2025-07-25 01:00:00,2025-07-25 04:00:00,LONG,117664.55,115311.259,SL,-0.020599999999999976
2025-07-25 06:00:00,2025-07-26 06:00:00,LONG,115500.0,117350.71,TL,0.015423463203463258
2025-07-27 17:00:00,2025-07-28 17:00:00,SHORT,119090.46,117667.86,TL,0.011345541229750945
2025-07-28 19:00:00,2025-07-29 19:00:00,LONG,117776.56,117525.29,TL,-0.00273344658733456
2025-07-30 19:00:00,2025-07-31 19:00:00,LONG,116523.15,116785.79,TL,0.0016539727084274622
2025-07-31 21:00:00,2025-08-01 08:00:00,LONG,116514.0,114183.72,SL,-0.02059999999999999
2025-08-01 11:00:00,2025-08-02 11:00:00,LONG,114762.58,113787.12,TL,-0.009099808909838088
2025-08-02 15:00:00,2025-08-03 15:00:00,LONG,113099.9,113959.06,TL,0.006996470023404119
2025-08-05 04:00:00,2025-08-06 04:00:00,LONG,114256.85,113429.21,TL,-0.007843679481799117
2025-08-07 05:00:00,2025-08-08 05:00:00,LONG,114349.58,116530.63,TL,0.018473528735304518
2025-08-10 04:00:00,2025-08-11 02:00:00,SHORT,118500.0,120870.0,SL,-0.0206
2025-08-11 04:00:00,2025-08-12 04:00:00,SHORT,121729.0,119067.97,TL,0.02126027980185493
2025-08-12 10:00:00,2025-08-13 10:00:00,LONG,118408.38,120496.0,TL,0.01703067782871445
2025-08-13 14:00:00,2025-08-14 00:00:00,SHORT,121767.97,124203.3294,SL,-0.02060000000000001
2025-08-14 11:00:00,2025-08-14 12:00:00,LONG,120932.99,118514.3302,SL,-0.02060000000000007
2025-08-14 14:00:00,2025-08-15 14:00:00,LONG,118428.86,117400.0,TL,-0.009287578348723449
2025-08-15 16:00:00,2025-08-16 16:00:00,LONG,117275.23,117747.65,TL,0.0034283016285706564
2025-08-17 01:00:00,2025-08-18 01:00:00,LONG,117255.18,116269.54,TL,-0.009005939933741089
2025-08-18 03:00:00,2025-08-19 03:00:00,LONG,115452.0,114810.0,TL,-0.0061607525205280116
2025-08-19 15:00:00,2025-08-20 15:00:00,LONG,113882.66,113353.94,TL,-0.005242673432461107
2025-08-21 12:00:00,2025-08-22 12:00:00,LONG,113148.65,112341.5,TL,-0.007733536281696637
2025-08-22 15:00:00,2025-08-23 15:00:00,SHORT,115808.24,114812.87,TL,0.007994984260187443
2025-08-24 13:00:00,2025-08-24 19:00:00,LONG,114673.8,112380.32400000001,SL,-0.020599999999999955
2025-08-24 21:00:00,2025-08-25 20:00:00,LONG,112770.39,110514.9822,SL,-0.020600000000000007
2025-08-25 22:00:00,2025-08-26 22:00:00,LONG,109888.01,111910.01,TL,0.017800551616140834
2025-08-27 18:00:00,2025-08-28 18:00:00,SHORT,112345.3,112373.59,TL,-0.0008518129374347978
2025-08-29 03:00:00,2025-08-29 13:00:00,LONG,111419.98,109191.58039999999,SL,-0.02060000000000004
2025-08-29 15:00:00,2025-08-30 15:00:00,LONG,108198.66,108869.98,TL,0.005604513068830912
2025-09-01 00:00:00,2025-09-02 00:00:00,LONG,108246.36,109040.36,TL,0.006735119628964891
2025-09-02 13:00:00,2025-09-03 13:00:00,LONG,108796.0,111475.07,TL,0.024024710467296657
2025-09-04 05:00:00,2025-09-05 05:00:00,LONG,110917.46,111574.5,TL,0.0053236841521613785
2025-09-05 08:00:00,2025-09-06 08:00:00,SHORT,112954.32,110952.76,TL,0.01712008365859767
2025-09-06 17:00:00,2025-09-07 17:00:00,LONG,110267.99,110962.83,TL,0.005701375403686931
2025-09-08 10:00:00,2025-09-09 10:00:00,SHORT,112094.99,112732.62,TL,-0.006288300610045016
2025-09-09 16:00:00,2025-09-10 16:00:00,LONG,110880.76,113759.89,TL,0.02536600167603473
2025-09-11 04:00:00,2025-09-12 04:00:00,SHORT,114400.01,115359.99,TL,-0.008991432832916802
2025-09-12 19:00:00,2025-09-13 19:00:00,SHORT,116486.19,115797.12,TL,0.005315465172309327
2025-09-14 14:00:00,2025-09-15 14:00:00,LONG,115348.1,114679.56,TL,-0.006395847525880427
2025-09-16 20:00:00,2025-09-17 20:00:00,SHORT,116800.13,115621.47,TL,0.009491255891581658
2025-09-18 05:00:00,2025-09-19 05:00:00,SHORT,117605.16,116894.83,TL,0.005439956069954769
2025-09-19 07:00:00,2025-09-20 07:00:00,LONG,116669.76,115968.56,TL,-0.006610126360078199
2025-09-21 02:00:00,2025-09-22 02:00:00,LONG,115500.01,114187.81,TL,-0.011961037977399284
2025-09-22 06:00:00,2025-09-23 06:00:00,LONG,113691.18,112974.96,TL,-0.006899697126901019
2025-09-23 18:00:00,2025-09-24 18:00:00,LONG,111957.76,113639.8,TL,0.014423880434906952
2025-09-25 02:00:00,2025-09-25 17:00:00,LONG,112661.24,110408.01520000001,SL,-0.020599999999999966
2025-09-25 20:00:00,2025-09-26 20:00:00,LONG,109360.0,109288.44,TL,-0.0012543525969275573
2025-09-28 16:00:00,2025-09-28 23:00:00,SHORT,110037.92,112238.6784,SL,-0.020600000000000056
2025-09-29 01:00:00,2025-09-30 00:00:00,SHORT,112260.57,114505.7814,SL,-0.0206
2025-09-30 02:00:00,2025-10-01 02:00:00,SHORT,114500.32,114272.15,TL,0.0013927455224580403
2025-10-01 09:00:00,2025-10-01 23:00:00,SHORT,116111.27,118433.4954,SL,-0.020599999999999962
2025-10-03 16:00:00,2025-10-04 16:00:00,SHORT,122258.04,121719.99,TL,0.0038009375579715525
2025-10-05 03:00:00,2025-10-06 03:00:00,SHORT,124031.44,123839.09,TL,0.0009508164704046476
2025-10-07 08:00:00,2025-10-07 15:00:00,LONG,123668.0,121194.64,SL,-0.020600000000000004
2025-10-07 17:00:00,2025-10-08 17:00:00,LONG,121684.17,124033.19,TL,0.018704236532985384
2025-10-09 03:00:00,2025-10-10 03:00:00,LONG,121617.81,121026.01,TL,-0.005466063613544784
2025-10-10 16:00:00,2025-10-10 19:00:00,LONG,119018.99,116638.61020000001,SL,-0.02059999999999996
