entry_time,exit_time,side,entry_price,exit_price,exit_reason,pnl_pct
2025-07-19 02:00:00,2025-07-21 02:00:00,SHORT,118036.74,118183.92,TL,-0.0018468999059105921
2025-07-22 21:00:00,2025-07-24 21:00:00,LONG,119703.29,118527.52,TL,-0.010422369961594118
2025-07-25 04:00:00,2025-07-27 04:00:00,SHORT,115419.65,118215.1,TL,-0.024819879370627202
2025-07-30 03:00:00,2025-08-01 00:00:00,SHORT,118024.1,114483.37700000001,TP,0.02939999999999998
2025-08-07 12:00:00,2025-08-09 12:00:00,LONG,116519.54,117116.64,TL,0.004524462386308819
2025-08-15 08:00:00,2025-08-17 08:00:00,SHORT,118956.45,118366.06,TL,0.004363076823492963
2025-08-23 07:00:00,2025-08-25 07:00:00,LONG,115781.16,111511.55,TL,-0.037476552281908396
2025-09-02 19:00:00,2025-09-04 19:00:00,LONG,110646.47,109799.99,TL,-0.008250311844562198
2025-09-20 03:00:00,2025-09-22 03:00:00,SHORT,115606.4,114649.89,TL,0.0076738498906634475
2025-09-29 14:00:00,2025-10-01 11:00:00,LONG,113227.29,116624.1087,TP,0.029400000000000034
2025-10-09 19:00:00,2025-10-10 19:00:00,SHORT,120649.33,117029.8501,TP,0.029400000000000048
2025-10-20 20:00:00,2025-10-22 20:00:00,LONG,110803.22,107696.03,TL,-0.028642416095849943
2025-10-23 17:00:00,2025-10-25 17:00:00,LONG,110263.74,111374.96,TL,0.009477837011514403
2025-10-30 04:00:00,2025-10-30 13:00:00,SHORT,110751.48,107428.9356,TP,0.029399999999999992
2025-11-10 06:00:00,2025-11-12 06:00:00,LONG,106100.0,103366.97,TL,-0.02635900094250706
2025-11-12 23:00:00,2025-11-13 18:00:00,SHORT,101978.95,98919.5815,TP,0.02939999999999997
2025-11-26 21:00:00,2025-11-28 13:00:00,LONG,89866.83,92562.8349,TP,0.0294
2025-12-01 10:00:00,2025-12-01 15:00:00,SHORT,86704.85,84103.7045,TP,0.02939999999999998
2025-12-03 01:00:00,2025-12-05 01:00:00,LONG,91660.13,92358.03,TL,0.00701399749269387
2025-12-06 00:00:00,2025-12-08 00:00:00,SHORT,89330.04,90346.7,TL,-0.011980941954128797
2025-12-08 06:00:00,2025-12-09 16:00:00,LONG,91334.04,94074.0612,TP,0.029400000000000034
2025-12-11 11:00:00,2025-12-13 11:00:00,SHORT,90320.15,90330.36,TL,-0.0007130423277641412
2025-12-20 18:00:00,2025-12-22 18:00:00,LONG,88181.8,89150.04,TL,0.010380043501039792
2025-12-24 00:00:00,2025-12-26 00:00:00,SHORT,87486.0,87120.0,TL,0.0035835265070982784
2025-12-26 03:00:00,2025-12-28 03:00:00,LONG,89200.0,87740.01,TL,-0.016967600896861047
2025-12-29 04:00:00,2025-12-31 04:00:00,LONG,90123.55,88325.06,TL,-0.02055582730595949
