entry_time,exit_time,side,entry_price,exit_price,exit_reason,pnl_pct
2025-07-25 03:00:00,2025-07-26 03:00:00,SHORT,178.82,185.97,TL,-0.0405843417962197
2025-07-26 10:00:00,2025-07-27 10:00:00,LONG,188.99,187.66,TL,-0.007637409386740105
2025-07-28 02:00:00,2025-07-28 04:00:00,LONG,188.31,193.9593,TP,0.029400000000000058
2025-07-28 20:00:00,2025-07-29 14:00:00,SHORT,185.25,179.6925,TP,0.029400000000000023
2025-08-07 09:00:00,2025-08-07 22:00:00,LONG,169.39,174.4717,TP,0.029400000000000075
2025-08-16 01:00:00,2025-08-17 01:00:00,SHORT,187.48,188.39,TL,-0.005453851077448243
2025-08-18 05:00:00,2025-08-19 04:00:00,SHORT,182.91,177.4227,TP,0.029400000000000027
2025-08-22 19:00:00,2025-08-23 04:00:00,LONG,196.83,202.7349,TP,0.02939999999999999
2025-08-26 02:00:00,2025-08-27 02:00:00,SHORT,188.22,199.5132,SL,-0.06060000000000007
2025-08-30 16:00:00,2025-08-31 16:00:00,SHORT,201.05,205.11,TL,-0.020793981596617765
2025-09-01 03:00:00,2025-09-02 03:00:00,SHORT,197.53,201.85,TL,-0.02247009568166857
2025-09-02 11:00:00,2025-09-03 00:00:00,LONG,203.71,209.8213,TP,0.0294
2025-09-04 20:00:00,2025-09-05 20:00:00,SHORT,202.11,205.56,TL,-0.017669912423927507
2025-09-05 22:00:00,2025-09-06 22:00:00,SHORT,203.13,200.4,TL,0.012839669177374046
2025-09-08 00:00:00,2025-09-08 10:00:00,LONG,206.35,212.5405,TP,0.029400000000000072
2025-09-19 20:00:00,2025-09-20 20:00:00,SHORT,235.98,239.73,TL,-0.01649117721840834
2025-09-21 07:00:00,2025-09-22 05:00:00,LONG,240.31,225.89139999999998,SL,-0.06060000000000011
2025-09-29 22:00:00,2025-09-30 22:00:00,LONG,214.16,208.06,TL,-0.029083376914456456
2025-10-07 22:00:00,2025-10-08 22:00:00,SHORT,223.15,228.61,TL,-0.025067846739861115
2025-10-09 01:00:00,2025-10-10 01:00:00,LONG,228.33,220.97,TL,-0.03283404721236813
2025-10-20 12:00:00,2025-10-21 12:00:00,LONG,192.21,186.48,TL,-0.030411144061183174
2025-10-21 22:00:00,2025-10-22 19:00:00,LONG,191.29,179.81259999999997,SL,-0.0606000000000001
2025-10-23 15:00:00,2025-10-24 12:00:00,LONG,189.78,195.4734,TP,0.029399999999999985
2025-10-30 13:00:00,2025-10-30 17:00:00,SHORT,187.85,182.2145,TP,0.02940000000000004
2025-11-10 02:00:00,2025-11-11 02:00:00,LONG,167.08,170.28,TL,0.018552501795546975
2025-11-11 21:00:00,2025-11-12 19:00:00,SHORT,156.78,152.07659999999998,TP,0.029400000000000103
2025-11-20 11:00:00,2025-11-20 16:00:00,LONG,142.26,133.72439999999997,SL,-0.060600000000000126
2025-11-24 22:00:00,2025-11-25 22:00:00,LONG,138.97,138.99,TL,-0.000456084046916527
2025-12-01 01:00:00,2025-12-01 15:00:00,SHORT,127.57,123.74289999999999,TP,0.029400000000000013
2025-12-02 22:00:00,2025-12-03 06:00:00,LONG,139.11,143.28330000000003,TP,0.029400000000000082
2025-12-05 16:00:00,2025-12-05 19:00:00,SHORT,135.04,130.9888,TP,0.02939999999999996
2025-12-08 11:00:00,2025-12-09 11:00:00,LONG,138.74,132.95,TL,-0.042332737494594354
2025-12-09 18:00:00,2025-12-10 18:00:00,LONG,143.13,137.72,TL,-0.03839780619017674
2025-12-11 01:00:00,2025-12-11 03:00:00,SHORT,133.86,129.8442,TP,0.029400000000000093
2025-12-12 04:00:00,2025-12-13 04:00:00,LONG,137.08,132.87,TL,-0.03131199299679025
2025-12-22 15:00:00,2025-12-23 15:00:00,LONG,127.85,123.37,TL,-0.035641063746577946
2025-12-28 06:00:00,2025-12-29 00:00:00,LONG,123.78,127.49340000000001,TP,0.029400000000000058
2025-12-29 20:00:00,2025-12-30 20:00:00,SHORT,123.07,124.03,TL,-0.008400438774681142
